cases,deaths,Country,population,continent,"14 day cases/100,000",date
6,0,Australia,25203200.0,Oceania,0.54754952,2020-12-14
13,0,Australia,25203200.0,Oceania,0.55548502,2020-12-13
12,0,Australia,25203200.0,Oceania,0.54754952,2020-12-12
7,0,Australia,25203200.0,Oceania,0.52771077,2020-12-11
6,0,Australia,25203200.0,Oceania,0.55151727,2020-12-10
15,0,Australia,25203200.0,Oceania,0.55151727,2020-12-09
7,0,Australia,25203200.0,Oceania,0.54358177,2020-12-08
9,0,Australia,25203200.0,Oceania,0.57135602,2020-12-07
7,0,Australia,25203200.0,Oceania,0.59119477,2020-12-06
10,0,Australia,25203200.0,Oceania,0.63484002,2020-12-05
16,0,Australia,25203200.0,Oceania,0.61500127,2020-12-04
11,0,Australia,25203200.0,Oceania,0.57929152,2020-12-03
8,0,Australia,25203200.0,Oceania,0.61896902,2020-12-02
11,1,Australia,25203200.0,Oceania,0.61103352,2020-12-01
8,0,Australia,25203200.0,Oceania,0.66658202,2020-11-30
11,0,Australia,25203200.0,Oceania,0.69038852,2020-11-29
7,0,Australia,25203200.0,Oceania,0.67848527,2020-11-28
13,0,Australia,25203200.0,Oceania,0.67054977,2020-11-27
6,0,Australia,25203200.0,Oceania,0.66658202,2020-11-26
13,0,Australia,25203200.0,Oceania,0.67451752,2020-11-25
14,0,Australia,25203200.0,Oceania,0.66261427,2020-11-24
14,0,Australia,25203200.0,Oceania,0.64674327,2020-11-23
18,0,Australia,25203200.0,Oceania,0.61500127,2020-11-22
5,0,Australia,25203200.0,Oceania,0.57135602,2020-11-21
7,0,Australia,25203200.0,Oceania,0.59913027,2020-11-20
21,0,Australia,25203200.0,Oceania,0.61500127,2020-11-19
6,0,Australia,25203200.0,Oceania,0.57929152,2020-11-18
25,0,Australia,25203200.0,Oceania,0.58722702,2020-11-17
14,0,Australia,25203200.0,Oceania,0.51580752,2020-11-16
8,0,Australia,25203200.0,Oceania,0.48009777,2020-11-15
5,0,Australia,25203200.0,Oceania,0.48009777,2020-11-14
12,0,Australia,25203200.0,Oceania,0.51183977,2020-11-13
8,0,Australia,25203200.0,Oceania,0.52374302,2020-11-12
10,0,Australia,25203200.0,Oceania,0.54358177,2020-11-11
10,0,Australia,25203200.0,Oceania,0.55945277,2020-11-10
6,0,Australia,25203200.0,Oceania,0.54754952,2020-11-09
7,0,Australia,25203200.0,Oceania,0.60706577,2020-11-08
12,0,Australia,25203200.0,Oceania,0.63880777,2020-11-07
11,0,Australia,25203200.0,Oceania,0.66261427,2020-11-06
12,0,Australia,25203200.0,Oceania,0.70625952,2020-11-05
8,0,Australia,25203200.0,Oceania,0.71419502,2020-11-04
7,0,Australia,25203200.0,Oceania,0.80545328,2020-11-03
5,0,Australia,25203200.0,Oceania,0.81338878,2020-11-02
8,0,Australia,25203200.0,Oceania,0.82132428,2020-11-01
13,0,Australia,25203200.0,Oceania,0.83719528,2020-10-31
15,0,Australia,25203200.0,Oceania,0.82132428,2020-10-30
13,2,Australia,25203200.0,Oceania,0.84513078,2020-10-29
14,0,Australia,25203200.0,Oceania,0.88877603,2020-10-28
7,0,Australia,25203200.0,Oceania,0.95622778,2020-10-27
21,0,Australia,25203200.0,Oceania,1.01574403,2020-10-26
15,0,Australia,25203200.0,Oceania,1.01177628,2020-10-25
18,0,Australia,25203200.0,Oceania,1.01177628,2020-10-24
22,0,Australia,25203200.0,Oceania,1.03161503,2020-10-23
14,0,Australia,25203200.0,Oceania,1.03955053,2020-10-22
31,0,Australia,25203200.0,Oceania,1.01574403,2020-10-21
9,1,Australia,25203200.0,Oceania,0.99193753,2020-10-20
7,0,Australia,25203200.0,Oceania,1.00780853,2020-10-19
12,0,Australia,25203200.0,Oceania,1.03955053,2020-10-18
